year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,2,AA,American Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",168,29,5.73,7.43,7.39,0,8.45,4,1,1083,237,336,184,0,326
2004,2,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",136,43,11.24,1.46,26.1,0,4.2,2,1,2302,987,93,883,0,339
2004,2,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",139,38,9.83,5.34,8.5,0,14.33,1,0,1664,442,207,244,0,771
2004,2,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",112,19,3.9,2.14,4.91,0,8.05,1,0,1058,185,117,282,0,474
2004,2,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International",144,27,7.02,4.83,5.09,0,10.07,3,0,1469,381,318,177,0,593
2004,2,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",8112,2344,206.15,65.41,1586.58,2.38,483.48,332,6,122319,15350,4493,75431,98,26947
2004,2,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",82,24,6.15,3,7.19,0,7.65,0,0,1087,210,223,352,0,302
2004,2,AA,American Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",319,90,15.95,8.43,46.02,0.5,19.1,0,1,4360,899,584,1563,9,1305
2004,2,AA,American Airlines Inc.,PDX,"Portland, OR: Portland International",199,49,12.48,14.02,8.85,0,13.64,2,0,2264,551,679,269,0,765
2004,2,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",606,124,32.46,16.36,27.34,0,47.84,36,0,6863,2039,928,1069,0,2827
2004,2,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",509,142,37.12,23.03,54.67,0,27.19,3,0,6885,2141,1175,1906,0,1663
2004,2,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",143,30,10.22,3.69,7.37,0,8.71,1,0,1640,684,200,279,0,477
2004,2,AA,American Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",183,46,10.6,7.1,13.41,0,14.89,0,2,2094,585,333,580,0,596
